CH 1,CH 2,CH 3,CH 4,CH 5,CH 6,CH 7,CH 8,CH 9,CH 10,IGCH,Burial Date c.,From,To,From date,To date
,,,,,,,,9.022,,43,400-370 BC,400,370,-400,-370
,,,,,,,,9.055,,,First half 4th cent. BC,400,350,-400,-350
,,,,,,,,9.083,,,334-300 BC,334,300,-334,-300
,,,,,,,,9.084,,,334-323 BC,334,323,-334,-323
,,,,,,,,9.085,,,330 BC,300,300,-300,-300
,,,,,,,,9.088,,408,323-317,323,317,-323,-317
,,,,,,,,9.094,,409,Late 4th cent. BC,330,300,-330,-300
,,,,,,,,9.097,,,End of the 4th cent. BC,330,300,-330,-300
,,,,,,,,9.102,,47,322-300 BC,322,300,-322,-300
,,,,,,,,9.121,,,300 BC,300,300,-300,-300
,,,,,,7.064,,9.129,,,300-290 BC,300,290,-300,-290
,,,,,,,8.241,9.140,,,290-270 BC,290,270,-290,-270
,,,,,,,,9.144,,850,280 BC,280,280,-280,-280
,,,,,,,,9.145,,,280-270 BC,280,270,-280,-270
,,,,,,,,9.146,,,280 BC,280,280,-280,-280
,,,,,,,,9.148,,91,280-270 BC or later,280,270,-280,-270
,,,,,,,,9.170,,,267-262 BC,267,262,-267,-262
,,,,,,7.069,8.298,9.179,,,250 BC,250,250,-250,-250
,,,,,,,,9.180,,162,250 BC,250,250,-250,-250
,,,,,,,,9.187,,,250 BC,250,250,-250,-250
,,,,,,,,9.189,,,250 BC,250,250,-250,-250
,,,,,,,,9.193,,141,250 BC,250,250,-250,-250
,,,,,,,,9.194,,175,245 BC,245,245,-245,-245
,,,,,,,,9.195,,176,245 BC,245,245,-245,-245
,,,,,,,,9.196,,,240 BC,240,240,-240,-240
,,,,,,,,9.200,,,225 BC,225,225,-225,-225
,,,,,,,,9.201,,,220s BC,230,220,-230,-220
,,,,,,,8.367,9.214,,,2nd cent. BC,200,100,-200,-100
,,,,,,,,9.220,,,3rd/2nd cent. BC,300,100,-300,-100
,,,,,,,,9.221,,,Early 2nd cent. BC,200,170,-200,-170
