Name,Discovery Date Start,Discovery Date End,Discovery Date Uncertain,Burial Date Start,Burial Date End,CH 1,CH 2,CH 3,CH 4,CH 5,CH 6,CH 7,CH 8,CH 9,CH 10,IGCH,Place Name,GML-compliant Coordinates,Canonical Geonames URI,Pleiades URI,Pleiades label,Nomisma URI,Geonames Feature Code Cat,Geonames Feature Code,AAT URI,AAT Label,findspot_uncertain,fromDate,fromDate_uncertain,fromDate_approximate,toDate,toDate_uncertain,toDate_approximate,IGCH lat,IGCH long,place,IGCH_region,Period
Turkey,1975,1975,,-350,-350,,2.040,,,,,,,,,,Türkiye,,https://sws.geonames.org/298795/,https://pleiades.stoa.org/places/837,Asia Minor,,independent political entity,,,,,1975,,,,,,,,,Asia_Minor_uncertain,http://nomisma.org/id/classical_greece
"Principo, Turkey",1930,1930,,,,,2.041,,,,,,,,,1239,Prinkipo Island,"29.12073,40.85857",https://sws.geonames.org/750250/,https://pleiades.stoa.org/places/521078,Megale/Pityodes/Prinkipos Ins.,,island,,,,,1930,,,,,,,,,Asia_Minor_north,http://nomisma.org/id/classical_greece
Balkans,1967,1967,,-325,-325,,2.050,,,,,,,,,,Balkans,,https://sws.geonames.org/12216908/,,,,region,,,,,1967,,,,,,,,,Macedonia_and_North,http://nomisma.org/id/classical_greece
"Byblos, Phoenicia",1971,1971,,-310,-310,,2.054,,,,,,,,,,Byblos (Lebanon),"35.64806,34.12111",https://sws.geonames.org/273203/,https://pleiades.stoa.org/places/668216,Byblos,,seat of a second-order administrative division,,,,,1971,,,,,,,,,Levant,http://nomisma.org/id/hellenistic_greece
"Caria?, Turkey",1965,1965,,-300,-300,,2.059,,,,,,,,,1287,Carie,,https://sws.geonames.org/8261116/,https://pleiades.stoa.org/places/1001916,Karia (late Roman province),,historical region,,,,,1965,,,,,,,,,Asia_Minor_west,http://nomisma.org/id/hellenistic_greece
Asia Minor,1970,1979,,-300,-200,,2.060,,,,,,,,,,Anatolia,,https://sws.geonames.org/323835/,https://pleiades.stoa.org/places/837,Asia Minor,,region,,,,,1970,,TRUE,1980,,TRUE,,,,Asia_Minor_uncertain,http://nomisma.org/id/hellenistic_greece
"Nuba, Hebron, Israel",1975,1975,,-255,-250,,2.069,,,,,,,,,,Nūbā (Palestine),"35.03455,31.609",https://sws.geonames.org/282510/,,,,populated place,,,,,1975,,,,,,,,,Levant,http://nomisma.org/id/hellenistic_greece
Asia Minor,1971,1971,,-230,-230,,2.073,,,,,,,,,,Anatolia,,https://sws.geonames.org/323835/,https://pleiades.stoa.org/places/837,Asia Minor,,region,,,,,1971,,,,,,,,,Asia_Minor_uncertain,http://nomisma.org/id/hellenistic_greece
"Patrae?, Greece",1970,1970,,-199,-100,,2.080,,,,,,,,,,Pátrai (Greece),"21.73444,38.24444",https://sws.geonames.org/255683/,https://pleiades.stoa.org/places/570567,Patra(e),,seat of a first-order administrative division,,,,TRUE,1970,,,,,,,,,Greece,http://nomisma.org/id/hellenistic_greece
Ionia,1974,1974,,-167,-133,,2.094,,,,,,,,,,Ionia,,https://sws.geonames.org/12148994/,https://pleiades.stoa.org/places/550597,Ionia (region),,historical region,,,,,1974,,,,,,,,,Asia_Minor_west,http://nomisma.org/id/hellenistic_greece
Rhodes?,1975,1975,,-100,-67,,2.105,,,,,,,,,,Rhodes,"27.96081,36.19613",https://sws.geonames.org/400665/,https://pleiades.stoa.org/places/590031,Rhodos (island),,island,,,,TRUE,1975,,,,,,,,,Asia_Minor_west,http://nomisma.org/id/hellenistic_greece
Turkey,1975,1975,,-85,-85,,2.112,,,,,,,,,,Türkiye,,https://sws.geonames.org/298795/,https://pleiades.stoa.org/places/837,Asia Minor,,independent political entity,,,,,1975,,,,,,,,,Asia_Minor_uncertain,http://nomisma.org/id/hellenistic_greece
"Tepebaglari, Cappadocia, Turkey",,,,-67,-33,,2.124,,,,,,,,,,Cappadocia,,https://sws.geonames.org/322954/,https://pleiades.stoa.org/places/991402,Cappadocia,,historical region,,,,,,,,,,,,,,Asia_Minor_central,http://nomisma.org/id/hellenistic_greece
Turkey,,,,-33,-1,,2.130,,,,,,,,,,Türkiye,,https://sws.geonames.org/298795/,https://pleiades.stoa.org/places/837,Asia Minor,,independent political entity,,,,,,,,,,,,,,Asia_Minor_uncertain,http://nomisma.org/id/hellenistic_greece
Mit Rahineh,1860,1860,,-500,-500,,,3.002,,,,,,,,1636,Memphis (Egypt),"31.25,29.86667",https://sws.geonames.org/352547/,https://pleiades.stoa.org/places/736963,Memphis,,archaeological/prehistoric site,,,,,1860,,,,,,,,,Egypt,http://nomisma.org/id/archaic_greece
"Canakkale-Yenidce, Turkey",1968,1968,,-350,-350,,,3.018,,,,,,,,,Canakkale (Türkiye),,https://sws.geonames.org/749778/,https://pleiades.stoa.org/places/550944,Troas (region),,first-order administrative division,,,,,1968,,,,,,,,,Asia_Minor_west,http://nomisma.org/id/classical_greece
"Edremid, Turkey",1957,1957,,-350,-350,,,3.019,,,,,,,,,Edremit (Türkiye),"27.02444,39.59611",https://sws.geonames.org/315985/,,,,seat of a second-order administrative division,,,,,1957,,,,,,,,,Asia_Minor_west,http://nomisma.org/id/classical_greece
"South Anatolia, Turkey",1976,1976,,-240,-240,,,3.041,,,,,,,,,Anatolia,,https://sws.geonames.org/323835/,https://pleiades.stoa.org/places/837,Asia Minor,http://nomisma.org/id/greek_southern_asia_minor,region,,,,,1976,,,,,,,,,Asia_Minor_south,http://nomisma.org/id/hellenistic_greece
Asia Minor,1906,1906,,-200,-200,,,3.048,,,,,,,,,Anatolia,,https://sws.geonames.org/323835/,https://pleiades.stoa.org/places/837,Asia Minor,,region,,,,,1906,,,,,,,,,Asia_Minor_uncertain,http://nomisma.org/id/hellenistic_greece
"Pontus, Turkey",,,,-85,-85,,,3.076,,,,,,,,,Pontus,,https://sws.geonames.org/12148993/,https://pleiades.stoa.org/places/857287,Pontus,,historical region,,,,,,,,,,,,,,Asia_Minor_north,http://nomisma.org/id/hellenistic_greece
"Lycia, Turkey",1976,1976,,-480,-480,,,,4.009,,,,,,,,Lycie,,https://sws.geonames.org/8261119/,https://pleiades.stoa.org/places/638965,Lycia,,historical region,,,,,1976,,,,,,,,,Asia_Minor_south,http://nomisma.org/id/classical_greece
