"value","uri","type"
"paphus","http://nomisma.org/id/paphus","mint"
"parium","http://nomisma.org/id/parium","mint"
"paros","http://nomisma.org/id/paros","mint"
"parthia","http://nomisma.org/id/parthia","mint"
"patrae","http://nomisma.org/id/patrae","mint"
"pednelissos","",""
"pelinna","http://nomisma.org/id/pelinna","mint"
"pella_macedon","http://nomisma.org/id/pella_macedon","mint"
"pellene","http://nomisma.org/id/pellene","mint"
"peloponnesus","http://nomisma.org/id/peloponnesus","head_1911_region"
"peparethos","",""
"peparethus","http://nomisma.org/id/peparethus","mint"
"pergamum","http://nomisma.org/id/pergamum","mint"
"perge","http://nomisma.org/id/perge","mint"
"perinthus","http://nomisma.org/id/perinthus","mint"
"peripolium","http://nomisma.org/id/peripolium","mint"
"perrhaebia","http://nomisma.org/id/perrhaebia","mint"
"persia","http://nomisma.org/id/persia","mint"
"petelia","http://nomisma.org/id/petelia","mint"
"phacium","http://nomisma.org/id/phacium","mint"
"phaestus","http://nomisma.org/id/phaestus","mint"
"phalasarna","http://nomisma.org/id/phalasarna","mint"
"phanagoria","http://nomisma.org/id/phanagoria","mint"
"pharae","http://nomisma.org/id/pharae","mint"
"pharos","http://nomisma.org/id/pharos","mint"
"pharsalus","http://nomisma.org/id/pharsalus","mint"
"phaselis","http://nomisma.org/id/phaselis","mint"
"pheneus","http://nomisma.org/id/pheneus","mint"
"philippi","http://nomisma.org/id/philippi","mint"
"phistelia","http://nomisma.org/id/phistelia","mint"
"phlius","http://nomisma.org/id/phlius","mint"
"phocaea","http://nomisma.org/id/phocaea","mint"
"phocis","http://nomisma.org/id/phocis","head_1911_region"
"phoenicia","http://nomisma.org/id/phoenicia","head_1911_region"
"pimolisa","http://nomisma.org/id/pimolisa","mint"
"plataea","http://nomisma.org/id/plataea","mint"
"polyrhenium","http://nomisma.org/id/polyrhenium","mint"
"populonia","http://nomisma.org/id/populonia","mint"
"poseidium","http://nomisma.org/id/poseidium","mint"
"poseidonia","http://nomisma.org/id/poseidonia","mint"
"potidaea","http://nomisma.org/id/potidaea","mint"
"praesus","http://nomisma.org/id/praesus","mint"
"priansus","http://nomisma.org/id/priansus","mint"
"priene","http://nomisma.org/id/priene","mint"
"propontis","http://nomisma.org/id/propontis","mint"
"punic","http://nomisma.org/id/punic","mint"
"pyxus","http://nomisma.org/id/pyxus","mint"
"rhaucus","http://nomisma.org/id/rhaucus","mint"
"rhegium","http://nomisma.org/id/rhegium","mint"
"rhoda","http://nomisma.org/id/rhoda","mint"
"rhodes","http://nomisma.org/id/rhodes","mint"
"rome","http://nomisma.org/id/rome","mint"
"saetabis","http://nomisma.org/id/saetabis","mint"
"sagalassus","http://nomisma.org/id/sagalassus","mint"
"saguntum","http://nomisma.org/id/saguntum","mint"
"salamis_attica","http://nomisma.org/id/salamis_attica","mint"
"salamis_cyprus","http://nomisma.org/id/salamis_cyprus","mint"
"salapia","http://nomisma.org/id/salapia","mint"
"same","http://nomisma.org/id/same","mint"
"samos","http://nomisma.org/id/samos","mint"
"samothrace","http://nomisma.org/id/samothrace","mint"
"sardes","http://nomisma.org/id/sardes","mint"
"sardinia","http://nomisma.org/id/sardinia","mint"
"sardis","",""
"scepsis","http://nomisma.org/id/scepsis","mint"
"scione","http://nomisma.org/id/scione","mint"
"scodra","http://nomisma.org/id/scodra","mint"
"scyros","http://nomisma.org/id/scyros","mint"
"segesta","http://nomisma.org/id/segesta","mint"
"seleuceia_ad_calycadnum","http://nomisma.org/id/seleuceia_ad_calycadnum","mint"
"seleuceia_ad_ti-         grim","",""
"seleuceia_ad_tigrim","http://nomisma.org/id/seleuceia_ad_tigrim","mint"
"seleuceia_ad_tigrim ","",""
"seleuceia_pieria","http://nomisma.org/id/seleuceia_pieria","mint"
"seleuceis_ad_tigrim","",""
"selge","http://nomisma.org/id/selge","mint"
"selinus_sicily","http://nomisma.org/id/selinus_sicily","mint"
"serdaei","http://nomisma.org/id/serdaei","mint"
"seriphos","http://nomisma.org/id/seriphos","mint"
"sermyle","http://nomisma.org/id/sermyle","mint"
"sesamus","http://nomisma.org/id/sesamus","mint"
"sestus","http://nomisma.org/id/sestus","mint"
"siceliotae","http://nomisma.org/id/siceliotae","mint"
"sicily","http://nomisma.org/id/sicily","head_1911_region"
"siculo-punic","",""
"siculo_punic","http://nomisma.org/id/siculo_punic","mint"
"sicyon","http://nomisma.org/id/sicyon","mint"
"side","http://nomisma.org/id/side","mint"
"sidon","http://nomisma.org/id/sidon","mint"
"sigeum","http://nomisma.org/id/sigeum","mint"
"sillyum","http://nomisma.org/id/sillyum","mint"
"simyra","http://nomisma.org/id/simyra","mint"
"sinope","http://nomisma.org/id/sinope","mint"
"siphnos","http://nomisma.org/id/siphnos","mint"
"siris","http://nomisma.org/id/siris","mint"
"smyrna","http://nomisma.org/id/smyrna","mint"
"soli","",""
"soli-pompeiopolis","http://nomisma.org/id/soli-pompeiopolis","mint"
"soli_cyprus","http://nomisma.org/id/soli_cyprus","mint"
"stageira","http://nomisma.org/id/stageira","mint"
"stagira","",""
"stratoniceia","http://nomisma.org/id/stratoniceia","mint"
"stratus","http://nomisma.org/id/stratus","mint"
"stymphalus","http://nomisma.org/id/stymphalus","mint"
"suessa__aurunca","",""
"suessa_aurunca","http://nomisma.org/id/suessa_aurunca","mint"
"susa","http://nomisma.org/id/susa","mint"
"sybaris","http://nomisma.org/id/sybaris","mint"
"sybrita","http://nomisma.org/id/sybrita","mint"
"synnada","http://nomisma.org/id/synnada","mint"
"syracuse","http://nomisma.org/id/syracuse","mint"
"syria","http://nomisma.org/id/syria","head_1911_region"
"syros","http://nomisma.org/id/syros","mint"
"tanagra","http://nomisma.org/id/tanagra","mint"
"tanus","http://nomisma.org/id/tanus","mint"
"taras","http://nomisma.org/id/taras","mint"
"tarsus","http://nomisma.org/id/tarsus","mint"
"taulara","http://nomisma.org/id/taulara","mint"
"tauromenium","http://nomisma.org/id/tauromenium","mint"
"taxila","http://nomisma.org/id/taxila","mint"
"teanum","",""
"teanum_sidicinum","http://nomisma.org/id/teanum_sidicinum","mint"
"teate","http://nomisma.org/id/teate","mint"
"tegea","http://nomisma.org/id/tegea","mint"
"telos","http://nomisma.org/id/telos","mint"
"temesa","http://nomisma.org/id/temesa","mint"
"temnus","http://nomisma.org/id/temnus","mint"
"tenedos","http://nomisma.org/id/tenedos","mint"
"tenos","http://nomisma.org/id/tenos","mint"
"teos","http://nomisma.org/id/teos","mint"
"terina","http://nomisma.org/id/terina","mint"
"termessus_major","http://nomisma.org/id/termessus_major","mint"
"termessus_minor","http://nomisma.org/id/termessus_minor","mint"
"terone","http://nomisma.org/id/terone","mint"
